complaint_id,date_filed,category,narrative,state,channel,status,resolution_days
C000025,2025-01-16,Account Opening / KYC,"Account not activated despite KYC completion. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Delhi,Email,Closed - No Action,19
C000026,2025-06-18,Account Opening / KYC,Delay in re-KYC process. I completed my KYC formalities over three weeks ago but my account is still not activated.,Gujarat,Call Centre,Resolved,3
C000027,2026-05-14,Charges / Fees,Hidden charges on account statement. The GST charged on my banking fees this month is higher than the applicable rate.,Bihar,Website,Resolved,4
C000028,2026-05-04,Fraud / Unauthorized Transactions,Unauthorized debit of Rs 7500 from my account. I did not share my OTP with anyone yet Rs 7500 was debited from my savings account.,Haryana,Website,Resolved,24
C000029,2025-03-11,ATM / Card Issues,"Card blocked without any prior notice. I attempted to withdraw Rs 500 from an ATM but cash was not dispensed, yet my account was debited.",Karnataka,Email,Pending,
C000030,2025-02-10,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. I did not share my OTP with anyone yet Rs 50000 was debited from my savings account.,Madhya Pradesh,Call Centre,Resolved,2
C000031,2026-02-10,Loan / Credit,Loan foreclosure charges not disclosed. My EMI of Rs 3000 was deducted twice from my account in the same billing cycle.,Telangana,Call Centre,Resolved,12
C000032,2025-04-13,Account Opening / KYC,Account not activated despite KYC completion. My re-KYC request submitted online has not been processed for over a month.,Odisha,Call Centre,Resolved,10
C000033,2026-03-25,Fraud / Unauthorized Transactions,Money debited without my consent. I noticed an unauthorized transaction of Rs 3000 on my RuPay debit card statement which I did not perform.,Kerala,Call Centre,Escalated,
C000034,2025-04-17,Digital Banking / UPI,UPI autopay deducted incorrect amount. I am unable to reset my net banking password despite following the official reset procedure multiple times.,Delhi,Call Centre,Closed - No Action,13
C000035,2025-08-04,Fraud / Unauthorized Transactions,Money debited without my consent. Someone used my UPI ID to transfer Rs 1200 without my knowledge or consent.,Karnataka,Call Centre,Pending,
C000036,2026-03-10,Digital Banking / UPI,UPI transaction failed but amount debited. My UPI transaction of Rs 15000 failed on the app but the amount was debited from my account and not reversed.,Uttar Pradesh,Mobile App,Escalated,
C000037,2026-03-14,Loan / Credit,Loan foreclosure charges not disclosed. There has been an unexplained delay of over a month in disbursement of my sanctioned loan amount.,Kerala,Branch,Resolved,20
C000038,2025-06-01,Digital Banking / UPI,UPI autopay deducted incorrect amount. My UPI autopay mandate deducted Rs 500 which is more than the agreed subscription amount.,Uttar Pradesh,Call Centre,Resolved,18
C000039,2025-04-16,Loan / Credit,Loan foreclosure charges not disclosed. I was charged foreclosure charges of Rs 500 that were never explained to me when I took the loan.,Bihar,Branch,Resolved,1
C000040,2025-07-03,ATM / Card Issues,"ATM swallowed my debit card. I attempted to withdraw Rs 2500 from an ATM but cash was not dispensed, yet my account was debited.",West Bengal,Email,Pending,
C000041,2026-01-27,Charges / Fees,SMS alert charges billed incorrectly. I was charged Rs 3000 as account maintenance charges without prior intimation.,Haryana,Email,Escalated,
C000042,2025-08-22,ATM / Card Issues,Duplicate card charges applied. I was charged twice for a single annual card fee this quarter.,Telangana,Branch,Resolved,4
C000043,2025-12-26,Account Opening / KYC,Account not activated despite KYC completion. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Gujarat,Website,Pending,
C000044,2025-09-29,Loan / Credit,EMI deducted twice in the same month. I was charged foreclosure charges of Rs 500 that were never explained to me when I took the loan.,Punjab,Call Centre,Resolved,4
C000045,2025-07-14,Account Opening / KYC,"Delay in re-KYC process. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Kerala,Email,Resolved,5
C000046,2025-03-13,Fraud / Unauthorized Transactions,Money debited without my consent. My account was compromised and Rs 25000 was withdrawn through an ATM I never visited.,Telangana,Mobile App,Closed - No Action,16
C000047,2026-02-17,Customer Service,Long waiting time for grievance redressal. My previous complaint ticket was closed by the bank without actually resolving the underlying issue.,Madhya Pradesh,Branch,Pending,
C000048,2025-11-05,ATM / Card Issues,Card blocked without any prior notice. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Haryana,Mobile App,Resolved,4
C000049,2025-11-26,Loan / Credit,Delay in loan disbursement. My credit score has been negatively impacted due to incorrect reporting of my loan repayment status.,Rajasthan,Branch,Resolved,5
C000050,2025-12-10,Customer Service,Unable to reach relationship manager. I have been unable to reach my assigned relationship manager despite repeated attempts.,Punjab,Branch,Resolved,10
C000051,2025-01-26,Customer Service,Branch staff misbehavior during visit. I was treated rudely by the branch staff when I visited to resolve my account issue.,Punjab,Mobile App,Resolved,17
C000052,2026-02-14,Account Opening / KYC,Delay in re-KYC process. My re-KYC request submitted online has not been processed for over a month.,Telangana,Mobile App,Resolved,8
C000053,2026-06-15,Charges / Fees,SMS alert charges billed incorrectly. SMS alert charges of Rs 1200 were deducted even though I have not used the SMS alert facility.,Maharashtra,Email,Resolved,1
C000054,2026-06-01,ATM / Card Issues,ATM swallowed my debit card. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Odisha,Website,Resolved,4
C000055,2025-09-11,Account Opening / KYC,Delay in re-KYC process. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Tamil Nadu,Website,Escalated,
C000056,2025-10-20,Account Opening / KYC,Delay in re-KYC process. I completed my KYC formalities over three weeks ago but my account is still not activated.,Maharashtra,Branch,Resolved,2
C000057,2025-03-07,ATM / Card Issues,Card blocked without any prior notice. My prepaid card was blocked suddenly and I was not informed of the reason despite calling customer care.,West Bengal,Website,Resolved,19
C000058,2026-02-03,Account Opening / KYC,Repeated requests for KYC documents already submitted. My re-KYC request submitted online has not been processed for over a month.,Haryana,Website,Closed - No Action,1
C000059,2026-02-04,Account Opening / KYC,Account frozen due to KYC mismatch. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Haryana,Email,Escalated,
C000060,2025-10-07,Digital Banking / UPI,Fund transfer stuck in pending status. The mobile banking app is showing an incorrect balance that does not match my passbook entries.,Uttar Pradesh,Email,Resolved,4
C000061,2025-01-28,Loan / Credit,Delay in loan disbursement. I was charged foreclosure charges of Rs 10000 that were never explained to me when I took the loan.,Maharashtra,Email,Closed - No Action,1
C000062,2026-01-24,ATM / Card Issues,ATM did not dispense cash but amount debited. I was charged twice for a single annual card fee this quarter.,Rajasthan,Call Centre,Resolved,4
C000063,2025-03-25,Loan / Credit,Delay in loan disbursement. My EMI of Rs 10000 was deducted twice from my account in the same billing cycle.,West Bengal,Branch,Resolved,8
C000064,2025-07-24,Customer Service,No response from customer care for over a week. I was treated rudely by the branch staff when I visited to resolve my account issue.,Bihar,Branch,Escalated,
C000065,2025-08-12,ATM / Card Issues,ATM did not dispense cash but amount debited. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Tamil Nadu,Call Centre,Resolved,7
C000066,2025-04-21,ATM / Card Issues,Card blocked without any prior notice. I was charged twice for a single annual card fee this quarter.,Odisha,Email,Resolved,16
C000067,2025-04-15,Account Opening / KYC,Nominee details not updated despite request. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Tamil Nadu,Website,Pending,
C000068,2026-03-15,Charges / Fees,Minimum balance penalty despite maintaining balance. The GST charged on my banking fees this month is higher than the applicable rate.,Maharashtra,Website,Pending,
C000069,2025-04-19,Customer Service,Long waiting time for grievance redressal. It has been over 20 days since I raised this grievance and there has been no update on the resolution.,West Bengal,Email,Resolved,5
C000070,2025-10-04,Customer Service,Branch staff misbehavior during visit. I have been unable to reach my assigned relationship manager despite repeated attempts.,Rajasthan,Email,Resolved,18
C000071,2025-03-30,Charges / Fees,Minimum balance penalty despite maintaining balance. SMS alert charges of Rs 50000 were deducted even though I have not used the SMS alert facility.,Rajasthan,Branch,Resolved,3
C000072,2026-05-22,Charges / Fees,Minimum balance penalty despite maintaining balance. I was charged Rs 15000 as account maintenance charges without prior intimation.,Delhi,Email,Escalated,
C000073,2025-10-10,ATM / Card Issues,Duplicate card charges applied. I was charged twice for a single annual card fee this quarter.,Karnataka,Email,Resolved,5
C000074,2026-04-04,Account Opening / KYC,Delay in re-KYC process. My re-KYC request submitted online has not been processed for over a month.,Maharashtra,Call Centre,Escalated,
C000075,2026-01-13,ATM / Card Issues,Duplicate card charges applied. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Madhya Pradesh,Call Centre,Resolved,8
C000076,2025-10-05,Account Opening / KYC,Account frozen due to KYC mismatch. My re-KYC request submitted online has not been processed for over a month.,West Bengal,Mobile App,Resolved,10
C000077,2026-05-11,Customer Service,Branch staff misbehavior during visit. I was treated rudely by the branch staff when I visited to resolve my account issue.,Bihar,Website,Resolved,18
C000078,2025-08-21,Digital Banking / UPI,Mobile banking app not reflecting correct balance. I am unable to reset my net banking password despite following the official reset procedure multiple times.,Delhi,Call Centre,Resolved,5
C000079,2025-04-16,Fraud / Unauthorized Transactions,Fraudulent transaction on my RuPay debit card. My account was compromised and Rs 500 was withdrawn through an ATM I never visited.,Bihar,Call Centre,Escalated,
C000080,2025-02-22,Account Opening / KYC,Account frozen due to KYC mismatch. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Haryana,Email,Resolved,17
C000081,2025-02-24,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. I received a call from an unknown number claiming to be from the bank and my account was debited by Rs 1200 without my authorization.,Maharashtra,Branch,Resolved,14
C000082,2025-08-20,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. I did not share my OTP with anyone yet Rs 25000 was debited from my savings account.,Gujarat,Email,Pending,
C000083,2025-03-03,Account Opening / KYC,"Account frozen due to KYC mismatch. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Kerala,Mobile App,Resolved,1
C000084,2025-06-10,Charges / Fees,Minimum balance penalty despite maintaining balance. I was charged Rs 3000 as account maintenance charges without prior intimation.,Gujarat,Email,Resolved,5
C000085,2025-08-26,Customer Service,Complaint ticket closed without resolution. I have called customer care multiple times over the past week regarding my issue but have received no response.,Tamil Nadu,Email,Resolved,7
C000086,2026-03-12,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. I noticed an unauthorized transaction of Rs 3000 on my RuPay debit card statement which I did not perform.,Tamil Nadu,Branch,Resolved,9
C000087,2025-10-23,Fraud / Unauthorized Transactions,Money debited without my consent. I did not share my OTP with anyone yet Rs 500 was debited from my savings account.,Rajasthan,Call Centre,Resolved,12
C000088,2026-05-21,Customer Service,Unable to reach relationship manager. I have been unable to reach my assigned relationship manager despite repeated attempts.,Kerala,Call Centre,Resolved,1
C000089,2025-01-22,Digital Banking / UPI,UPI transaction failed but amount debited. The mobile banking app is showing an incorrect balance that does not match my passbook entries.,Telangana,Call Centre,Closed - No Action,1
C000090,2026-03-29,Digital Banking / UPI,Fund transfer stuck in pending status. My UPI autopay mandate deducted Rs 500 which is more than the agreed subscription amount.,Telangana,Email,Closed - No Action,12
C000091,2025-11-25,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. Someone used my UPI ID to transfer Rs 15000 without my knowledge or consent.,Haryana,Branch,Pending,
C000092,2025-02-07,Loan / Credit,EMI deducted twice in the same month. There has been an unexplained delay of over a month in disbursement of my sanctioned loan amount.,West Bengal,Call Centre,Resolved,16
C000093,2026-04-19,Loan / Credit,Credit score impacted due to incorrect reporting. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Punjab,Email,Resolved,11
C000094,2025-05-15,Customer Service,Branch staff misbehavior during visit. My previous complaint ticket was closed by the bank without actually resolving the underlying issue.,Rajasthan,Email,Closed - No Action,14
C000095,2025-01-15,Fraud / Unauthorized Transactions,Fraudulent transaction on my credit card. Someone used my UPI ID to transfer Rs 500 without my knowledge or consent.,Odisha,Mobile App,Resolved,24
C000096,2026-06-06,Account Opening / KYC,Delay in re-KYC process. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Gujarat,Email,Pending,
C000097,2026-01-28,Account Opening / KYC,Nominee details not updated despite request. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Bihar,Website,Resolved,19
C000098,2025-12-15,Customer Service,Complaint ticket closed without resolution. It has been over 20 days since I raised this grievance and there has been no update on the resolution.,Tamil Nadu,Call Centre,Closed - No Action,1
C000099,2026-05-11,Charges / Fees,SMS alert charges billed incorrectly. My account statement shows multiple charges of Rs 50000 that were never explained to me.,Madhya Pradesh,Website,Resolved,8
C000100,2026-01-28,Account Opening / KYC,Repeated requests for KYC documents already submitted. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Kerala,Email,Resolved,9
C000101,2025-02-07,Customer Service,Branch staff misbehavior during visit. It has been over 20 days since I raised this grievance and there has been no update on the resolution.,Bihar,Call Centre,Resolved,7
C000102,2026-04-13,Charges / Fees,Unexplained deduction of maintenance charges. The GST charged on my banking fees this month is higher than the applicable rate.,Delhi,Mobile App,Resolved,16
C000103,2025-03-24,Account Opening / KYC,Nominee details not updated despite request. My re-KYC request submitted online has not been processed for over a month.,Haryana,Website,Escalated,
C000104,2025-03-12,Account Opening / KYC,Nominee details not updated despite request. I completed my KYC formalities over three weeks ago but my account is still not activated.,Telangana,Call Centre,Resolved,18
C000105,2026-03-31,ATM / Card Issues,"ATM did not dispense cash but amount debited. I attempted to withdraw Rs 1200 from an ATM but cash was not dispensed, yet my account was debited.",West Bengal,Mobile App,Resolved,8
C000106,2025-09-08,Loan / Credit,Delay in loan disbursement. I was charged foreclosure charges of Rs 7500 that were never explained to me when I took the loan.,Bihar,Branch,Resolved,10
C000107,2025-09-04,ATM / Card Issues,Card declined despite sufficient balance. The ATM machine retained my card and I have not received it back after multiple visits to the branch.,Telangana,Call Centre,Resolved,5
C000108,2025-06-11,Account Opening / KYC,Delay in re-KYC process. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,West Bengal,Website,Resolved,6
C000109,2025-07-23,Loan / Credit,Delay in loan disbursement. My EMI of Rs 10000 was deducted twice from my account in the same billing cycle.,Gujarat,Website,Closed - No Action,10
C000110,2026-02-10,Loan / Credit,EMI deducted twice in the same month. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Bihar,Mobile App,Resolved,6
C000111,2025-12-27,Digital Banking / UPI,Mobile banking app not reflecting correct balance. My UPI autopay mandate deducted Rs 15000 which is more than the agreed subscription amount.,Punjab,Branch,Resolved,10
C000112,2025-02-04,Customer Service,Complaint ticket closed without resolution. It has been over 20 days since I raised this grievance and there has been no update on the resolution.,Kerala,Branch,Resolved,13
C000113,2025-07-25,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. I noticed an unauthorized transaction of Rs 4999 on my RuPay debit card statement which I did not perform.,Madhya Pradesh,Website,Resolved,1
C000114,2025-12-13,Loan / Credit,Delay in loan disbursement. My EMI of Rs 2500 was deducted twice from my account in the same billing cycle.,Rajasthan,Mobile App,Escalated,
C000115,2025-04-03,ATM / Card Issues,Card declined despite sufficient balance. I was charged twice for a single annual card fee this quarter.,Uttar Pradesh,Call Centre,Escalated,
C000116,2026-01-26,Digital Banking / UPI,Unable to reset net banking password. I am unable to reset my net banking password despite following the official reset procedure multiple times.,West Bengal,Mobile App,Escalated,
C000117,2025-12-02,Customer Service,No response from customer care for over a week. I have been unable to reach my assigned relationship manager despite repeated attempts.,Karnataka,Mobile App,Closed - No Action,5
C000118,2025-05-24,Customer Service,Long waiting time for grievance redressal. I have called customer care multiple times over the past week regarding my issue but have received no response.,Maharashtra,Mobile App,Resolved,28
C000119,2026-01-15,ATM / Card Issues,ATM swallowed my debit card. The ATM machine retained my card and I have not received it back after multiple visits to the branch.,Kerala,Website,Pending,
C000120,2026-05-17,Account Opening / KYC,Delay in re-KYC process. I completed my KYC formalities over three weeks ago but my account is still not activated.,Tamil Nadu,Mobile App,Resolved,13
C000121,2025-08-30,Customer Service,Long waiting time for grievance redressal. It has been over 20 days since I raised this grievance and there has been no update on the resolution.,Maharashtra,Call Centre,Escalated,
C000122,2025-07-14,Digital Banking / UPI,Fund transfer stuck in pending status. I am unable to reset my net banking password despite following the official reset procedure multiple times.,Maharashtra,Branch,Closed - No Action,19
C000123,2025-09-07,Customer Service,No response from customer care for over a week. My previous complaint ticket was closed by the bank without actually resolving the underlying issue.,Punjab,Website,Closed - No Action,5
C000124,2025-08-27,ATM / Card Issues,Card declined despite sufficient balance. My credit card was blocked suddenly and I was not informed of the reason despite calling customer care.,Uttar Pradesh,Call Centre,Resolved,16
C000125,2025-06-28,Charges / Fees,Excess GST charged on banking fees. I was charged a minimum balance penalty despite maintaining the required average monthly balance.,Haryana,Mobile App,Resolved,19
C000126,2025-11-28,ATM / Card Issues,Card blocked without any prior notice. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Gujarat,Website,Resolved,8
C000127,2026-06-10,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. Someone used my UPI ID to transfer Rs 1200 without my knowledge or consent.,Rajasthan,Website,Resolved,12
C000128,2026-04-15,ATM / Card Issues,Card declined despite sufficient balance. I was charged twice for a single annual card fee this quarter.,Uttar Pradesh,Mobile App,Pending,
C000129,2026-03-31,Account Opening / KYC,Account not activated despite KYC completion. My re-KYC request submitted online has not been processed for over a month.,Maharashtra,Branch,Resolved,16
C000130,2026-06-28,Loan / Credit,Delay in loan disbursement. My credit score has been negatively impacted due to incorrect reporting of my loan repayment status.,Madhya Pradesh,Website,Resolved,12
C000131,2026-03-17,Account Opening / KYC,Nominee details not updated despite request. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Rajasthan,Email,Resolved,9
C000132,2025-09-19,Account Opening / KYC,Delay in re-KYC process. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Delhi,Email,Resolved,14
C000133,2025-04-09,Fraud / Unauthorized Transactions,Unauthorized debit of Rs 1200 from my account. My account was compromised and Rs 1200 was withdrawn through an ATM I never visited.,West Bengal,Branch,Pending,
C000134,2025-12-29,Digital Banking / UPI,UPI transaction failed but amount debited. A fund transfer of Rs 500 initiated three days ago is still showing as pending status.,Punjab,Email,Escalated,
C000135,2025-12-27,Charges / Fees,Excess GST charged on banking fees. I was charged a minimum balance penalty despite maintaining the required average monthly balance.,Rajasthan,Branch,Resolved,5
C000136,2025-04-28,Charges / Fees,Excess GST charged on banking fees. I was charged a minimum balance penalty despite maintaining the required average monthly balance.,Bihar,Branch,Pending,
C000137,2025-01-30,Charges / Fees,Excess GST charged on banking fees. I was charged a minimum balance penalty despite maintaining the required average monthly balance.,Kerala,Call Centre,Resolved,8
C000138,2026-02-15,Loan / Credit,Loan foreclosure charges not disclosed. I was charged foreclosure charges of Rs 7500 that were never explained to me when I took the loan.,Maharashtra,Website,Resolved,8
C000139,2025-06-11,ATM / Card Issues,ATM swallowed my debit card. I was charged twice for a single annual card fee this quarter.,Kerala,Call Centre,Resolved,1
C000140,2025-06-11,Charges / Fees,Unexplained deduction of maintenance charges. SMS alert charges of Rs 50000 were deducted even though I have not used the SMS alert facility.,Uttar Pradesh,Mobile App,Pending,
C000141,2026-03-29,Loan / Credit,Delay in loan disbursement. My credit score has been negatively impacted due to incorrect reporting of my loan repayment status.,West Bengal,Email,Resolved,10
C000142,2025-02-16,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. Someone used my UPI ID to transfer Rs 4999 without my knowledge or consent.,Bihar,Mobile App,Resolved,16
C000143,2025-09-19,Fraud / Unauthorized Transactions,Fraudulent transaction on my RuPay debit card. I noticed an unauthorized transaction of Rs 3000 on my RuPay debit card statement which I did not perform.,Gujarat,Branch,Resolved,14
C000144,2025-12-29,ATM / Card Issues,Card declined despite sufficient balance. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Haryana,Mobile App,Resolved,13
C000145,2026-03-16,Account Opening / KYC,Account not activated despite KYC completion. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Maharashtra,Email,Resolved,7
C000146,2026-01-06,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. My account was compromised and Rs 7500 was withdrawn through an ATM I never visited.,Haryana,Mobile App,Resolved,2
C000147,2026-02-10,ATM / Card Issues,"Card declined despite sufficient balance. I attempted to withdraw Rs 10000 from an ATM but cash was not dispensed, yet my account was debited.",Kerala,Call Centre,Escalated,
C000148,2025-04-27,ATM / Card Issues,ATM did not dispense cash but amount debited. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,West Bengal,Branch,Resolved,12
C000149,2025-06-27,ATM / Card Issues,Duplicate card charges applied. My credit card was blocked suddenly and I was not informed of the reason despite calling customer care.,Punjab,Mobile App,Resolved,18
C000150,2026-04-05,ATM / Card Issues,Card declined despite sufficient balance. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Odisha,Website,Pending,
C000151,2026-03-27,Customer Service,Complaint ticket closed without resolution. I was treated rudely by the branch staff when I visited to resolve my account issue.,Tamil Nadu,Website,Resolved,4
C000152,2026-04-08,Fraud / Unauthorized Transactions,Money debited without my consent. My account was compromised and Rs 7500 was withdrawn through an ATM I never visited.,West Bengal,Call Centre,Resolved,10
C000153,2025-02-12,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. I did not share my OTP with anyone yet Rs 1200 was debited from my savings account.,West Bengal,Website,Resolved,12
C000154,2025-04-16,Account Opening / KYC,Account not activated despite KYC completion. My re-KYC request submitted online has not been processed for over a month.,Haryana,Call Centre,Escalated,
C000155,2026-03-25,Customer Service,No response from customer care for over a week. I was treated rudely by the branch staff when I visited to resolve my account issue.,Madhya Pradesh,Website,Closed - No Action,1
C000156,2026-02-01,Digital Banking / UPI,Unable to reset net banking password. I am unable to reset my net banking password despite following the official reset procedure multiple times.,Punjab,Call Centre,Resolved,4
C000157,2025-10-18,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. My account was compromised and Rs 7500 was withdrawn through an ATM I never visited.,Haryana,Website,Resolved,15
C000158,2025-05-25,Charges / Fees,Unexplained deduction of maintenance charges. The GST charged on my banking fees this month is higher than the applicable rate.,Telangana,Email,Closed - No Action,5
C000159,2026-01-21,ATM / Card Issues,Duplicate card charges applied. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,West Bengal,Branch,Pending,
C000160,2026-01-06,Customer Service,Long waiting time for grievance redressal. I have been unable to reach my assigned relationship manager despite repeated attempts.,Tamil Nadu,Branch,Resolved,17
C000161,2025-05-21,ATM / Card Issues,Card blocked without any prior notice. My prepaid card was blocked suddenly and I was not informed of the reason despite calling customer care.,Madhya Pradesh,Website,Resolved,6
C000162,2025-05-15,Charges / Fees,Minimum balance penalty despite maintaining balance. The GST charged on my banking fees this month is higher than the applicable rate.,Delhi,Branch,Resolved,19
C000163,2026-02-25,ATM / Card Issues,"ATM swallowed my debit card. I attempted to withdraw Rs 50000 from an ATM but cash was not dispensed, yet my account was debited.",Bihar,Call Centre,Resolved,5
C000164,2025-11-13,Charges / Fees,Excess GST charged on banking fees. SMS alert charges of Rs 15000 were deducted even though I have not used the SMS alert facility.,Punjab,Email,Closed - No Action,1
C000165,2026-04-18,Charges / Fees,Excess GST charged on banking fees. My account statement shows multiple charges of Rs 3000 that were never explained to me.,Punjab,Email,Pending,
C000166,2025-05-22,Digital Banking / UPI,Mobile banking app not reflecting correct balance. The mobile banking app is showing an incorrect balance that does not match my passbook entries.,Uttar Pradesh,Email,Escalated,
C000167,2025-10-19,Charges / Fees,Excess GST charged on banking fees. I was charged Rs 7500 as account maintenance charges without prior intimation.,Madhya Pradesh,Branch,Resolved,12
C000168,2025-12-24,Charges / Fees,SMS alert charges billed incorrectly. My account statement shows multiple charges of Rs 10000 that were never explained to me.,Gujarat,Mobile App,Closed - No Action,14
C000169,2025-03-25,Account Opening / KYC,Repeated requests for KYC documents already submitted. My re-KYC request submitted online has not been processed for over a month.,Haryana,Call Centre,Resolved,22
C000170,2026-04-29,Charges / Fees,Unexplained deduction of maintenance charges. I was charged a minimum balance penalty despite maintaining the required average monthly balance.,Delhi,Email,Pending,
